# Русский<TAB>English. \n — перенос строки.
Нельзя разыграть	Unplayable
Метка: {0} (+{1}% к шансу встречи)	Mark: {0} (+{1}% encounter chance)
Нельзя разыграть. Занимает место в руке.	Unplayable. Takes up a slot in your hand.
редкая	rare
обычная	common
\n<color=#ff9090>Нельзя удалить обычным способом.</color>	\n<color=#ff9090>Cannot be removed by normal means.</color>
\n<color=#9fd8ff>Остаётся в руке, пока не разыграна.</color>	\n<color=#9fd8ff>Stays in hand until played.</color>
\n<color=#9fd8ff>Один раз за бой.</color>	\n<color=#9fd8ff>Once per combat.</color>
\n\n<color=#d9a6ff>{0}</color>\nКаждая такая карта в колоде повышает шанс, что за фиолетовой дверью окажется {1}.	\n\n<color=#d9a6ff>{0}</color>\nEvery such card in your deck raises the chance that {1} waits behind the purple door.
Нанести {0} урона {1} раза.	Deal {0} damage {1} times.
Нанести {0} урона.	Deal {0} damage.
Получить {0} блока.	Gain {0} block.
Восстановить {0} HP.	Restore {0} HP.
Отравить врага: {0} урона в ход, {1} х.	Poison the enemy: {0} damage per turn for {1} turns.
Ослабить врага на {0} ({1} х.).	Weaken the enemy by {0} ({1} turns).
Поджечь врага: {0} урона в начале его хода, {1} х.	Set the enemy ablaze: {0} damage at the start of its turn for {1} turns.
Нанести {0} урона, игнорируя блок.	Deal {0} damage, ignoring block.
Если враг атакует в этот ход — он получает {0} урона.	If the enemy attacks this turn, it takes {0} damage.
Снять с себя один отрицательный эффект.	Remove one negative effect from yourself.
Получить {0} урона самому.	Take {0} damage yourself.
В следующий ход нельзя играть защитные карты.	You cannot play defense cards next turn.
В следующий ход нельзя играть атакующие карты.	You cannot play attack cards next turn.
Если враг пробьёт блок и ранит тебя — он загорится: {0} урона в ход, {1} х.	If the enemy breaks your block and wounds you, it catches fire: {0} damage per turn for {1} turns.
Ярость на {0} хода: можно играть по 2 карты за ход (включая этот).	Rage for {0} turns: play 2 cards per turn (including this one).
+{0} Замах.	+{0} Momentum.
Забирает {0} Замах.	Consumes {0} Momentum.
В этот ход пассивный удар срабатывает на {0} Замах раньше.	This turn the passive strike triggers {0} Momentum earlier.
Следующий пассивный удар наносит +{0} урона.	The next passive strike deals +{0} damage.
Связка: после этой карты можно сразу сыграть ещё одну карту атаки.	Combo: after this card you may immediately play one more attack card.
Если враг пробьёт блок и ранит тебя — +{0} Замах в начале следующего хода.	If the enemy breaks your block and wounds you: +{0} Momentum at the start of your next turn.
Если после удара у врага останется не больше {0}% HP — добить.	If the enemy is left at {0}% HP or less after the hit, execute it.
Если враг горит — {0} вместо этого.	If the enemy is burning, {0} instead.
Если у врага есть блок — {0} вместо этого.	If the enemy has block, {0} instead.
Если враг готовит атаку — {0}	If the enemy is preparing an attack, {0}
Если у врага меньше половины HP — {0} вместо этого.	If the enemy is below half HP, {0} instead.
{0} урона ×{1}	{0} damage ×{1}
{0} урона	{0} damage
{0} блока	{0} block
яд {0}×{1}	poison {0}×{1}
ослабить −{0} ({1} х.)	weaken −{0} ({1} t.)
горение {0}×{1}	burn {0}×{1}
{0} сквозь блок	{0} through block
шипы {0}	thorns {0}
снять эффект	cleanse
−{0} HP себе	−{0} HP to self
без защиты в след. ход	no defense next turn
без атаки в след. ход	no attack next turn
пробил блок — горит {0}×{1}	broke block — burns {0}×{1}
2 карты за ход, {0} хода	2 cards per turn, {0} turns
+{0} Замах	+{0} Momentum
−{0} Замах	−{0} Momentum
порог удара −{0}	strike threshold −{0}
пасс. удар +{0}	passive strike +{0}
связка: ещё атака	combo: one more attack
ранят — +{0} Замах	wounded — +{0} Momentum
≤ {0}% HP — добить	≤ {0}% HP — execute
если горит:	if burning:
если < ½ HP:	if < ½ HP:
если враг в блоке:	if enemy blocks:
если враг атакует:	if enemy attacks:
Яд	Poison
<b>Яд</b>\n−{0} HP в начале каждого твоего хода. Осталось ходов: {1}.	<b>Poison</b>\n−{0} HP at the start of each of your turns. Turns left: {1}.
Ярость	Rage
<b>Ярость</b>\nМожно играть по 2 карты за ход. Осталось ходов: {0}.	<b>Rage</b>\nYou may play 2 cards per turn. Turns left: {0}.
Шипы	Thorns
<b>Шипы</b>\nЕсли враг атакует в этот ход — получает {0} урона.	<b>Thorns</b>\nIf the enemy attacks this turn, it takes {0} damage.
Жар	Heat
<b>Раскалённая броня</b>\nЕсли враг пробьёт блок и ранит тебя — он загорится: {0} урона в ход, {1} х.	<b>Molten Armor</b>\nIf the enemy breaks your block and wounds you, it catches fire: {0} damage per turn for {1} turns.
Без защиты	No defense
<b>Без защиты</b>\nВ этот ход нельзя играть защитные карты.	<b>No defense</b>\nYou cannot play defense cards this turn.
<b>Без защиты</b>\nВ следующий ход нельзя играть защитные карты.	<b>No defense</b>\nYou cannot play defense cards next turn.
Без атаки	No attack
<b>Без атаки</b>\nВ этот ход нельзя играть атакующие карты.	<b>No attack</b>\nYou cannot play attack cards this turn.
<b>Без атаки</b>\nВ следующий ход нельзя играть атакующие карты.	<b>No attack</b>\nYou cannot play attack cards next turn.
−карта	−card
<b>Ослабление</b>\nВ следующий ход враг утащит {0} карт(у) из руки.	<b>Weakened</b>\nNext turn the enemy will steal {0} card(s) from your hand.
Связка	Combo
<b>Связка</b>\nМожно сыграть ещё одну карту атаки в этот ход.	<b>Combo</b>\nYou may play one more attack card this turn.
Возмездие	Retaliation
<b>Возмездие</b>\nЕсли враг пробьёт блок и ранит тебя — +{0} Замах в начале следующего хода.	<b>Retaliation</b>\nIf the enemy breaks your block and wounds you: +{0} Momentum at the start of your next turn.
<b>Яд</b>\nВраг теряет {0} HP в начале своего хода. Осталось ходов: {1}.	<b>Poison</b>\nThe enemy loses {0} HP at the start of its turn. Turns left: {1}.
Горит	Burning
<b>Горение</b>\nВраг теряет {0} HP в начале своего хода. Осталось ходов: {1}.	<b>Burning</b>\nThe enemy loses {0} HP at the start of its turn. Turns left: {1}.
Слаб	Weak
<b>Ослаблен</b>\nАтаки врага слабее на {0}. Осталось ходов: {1}.	<b>Weakened</b>\nThe enemy's attacks are weaker by {0}. Turns left: {1}.
Скрыт	Hidden
<b>Скрылся</b>\nВраг ушёл под воду / рассыпался. Вынырнет на своём ходу.	<b>Hidden</b>\nThe enemy dove underwater / fell apart. It will resurface on its turn.
Блок {0}	Block {0}
Яд {0}×{1}	Poison {0}×{1}
Ослаблен −{0} ({1} х.)	Weakened −{0} ({1} t.)
Горит {0}×{1}	Burning {0}×{1}
Шипы {0}	Thorns {0}
Нельзя защищаться в этот ход	Cannot defend this turn
В следующий ход нельзя защищаться	Cannot defend next turn
Нельзя атаковать в этот ход	Cannot attack this turn
В следующий ход нельзя атаковать	Cannot attack next turn
Раскалённая броня: пробьёт блок — загорится {0}×{1}	Molten Armor: breaks block — burns {0}×{1}
Ярость: 2 карты за ход, ещё {0} х.	Rage: 2 cards per turn, {0} more turns
Связка: можно сыграть ещё одну атаку	Combo: you may play one more attack
Возмездие: ранят — +{0} Замах	Retaliation: wounded — +{0} Momentum
Яд: {0} урона в начале хода, ещё {1} х.	Poison: {0} damage at the start of the turn, {1} more turns
Ослаблен: −{0} карта в следующий ход	Weakened: −{0} card next turn
{0} появляется!	{0} appears!
Без защиты!	No defense!
Без атаки!	No attack!
  Яд: −{0} HP.	  Poison: −{0} HP.
-{0} яд	-{0} poison
+{0} блок	+{0} block
Ход врага	Enemy's turn
Без защиты в этот ход	No defense this turn
Без атаки в этот ход	No attack this turn
Карты на этот ход закончились	No card plays left this turn
Связка: только атака	Combo: attacks only
 (блок поглотил {0})	 (block absorbed {0})
Блок!	Blocked!
+{0} блока	+{0} block
Яд!	Poisoned!
враг ослаблен −{0} ({1} х.)	enemy weakened −{0} ({1} t.)
Ослаблен!	Weakened!
Горит!	Burning!
{0} урона сквозь блок	{0} damage through block
ярость на {0} хода	rage for {0} turns
ЯРОСТЬ!	RAGE!
раскалённая броня	molten armor
Раскалена!	Red-hot!
Замаха нет	No Momentum
порог удара {0}	strike threshold {0}
Удар на {0}!	Strike at {0}!
след. пасс. удар +{0}	next passive strike +{0}
Сила +{0}	Power +{0}
связка	combo
Связка!	Combo!
возмездие +{0}	retaliation +{0}
казнь	execution
КАЗНЬ!	EXECUTED!
яд снят	poison removed
ослабление снято	weakness removed
нечего снимать	nothing to cleanse
Очищение	Cleanse
Замах {0}/{1}	Momentum {0}/{1}
Замах! Молния бьёт на {0}.	Momentum! Lightning strikes for {0}.
Яд: {0} теряет {1} HP.	Poison: {0} loses {1} HP.
Горение: {0} теряет {1} HP.	Burning: {0} loses {1} HP.
-{0} огонь	-{0} fire
{0} ничего не делает.	{0} does nothing.
{0} использует «{1}»	{0} uses "{1}"
{0} атакует на {1}.	{0} attacks for {1}.
 Ослабление сняло {0}.	 Weakness removed {0}.
 Блок поглотил {0}.	 Block absorbed {0}.
 Ты получил {0} урона.	 You took {0} damage.
 Урон не прошёл.	 No damage taken.
Шипы: {0} получает {1} урона.	Thorns: {0} takes {1} damage.
-{0} шипы	-{0} thorns
{0}: {1} урона в начале хода, {2} х.	{0}: {1} damage at the start of the turn, {2} turns.
{0} портит твои карты: {1} карта заменена слабой до конца боя.	{0} spoils your cards: {1} card replaced with a weak one until the end of combat.
Испорчено {0} карты!	{0} cards spoiled!
Карта испорчена!	Card spoiled!
Клешни держат щит: в следующий ход нельзя защищаться.	Claws hold your shield: you cannot defend next turn.
Ты ослаблен: в следующий ход на {0} карту меньше.	You are weakened: {0} fewer card next turn.
{0} скрывается из виду.	{0} vanishes from sight.
{0} повержен!	{0} is defeated!
Победа! Новая карта в колоде	Victory! A new card joins your deck
Победа! Усиль одну карту	Victory! Upgrade one card
Ярость просыпается. Новая карта в колоде	Rage awakens. A new card joins your deck
Атака {0}×{1}	Attack {0}×{1}
Атака {0}	Attack {0}
Защита {0}	Block {0}
{0} {1}×{2}	{0} {1}×{2}
−{0} карта	−{0} card
портит {0} карты	spoils {0} cards
портит карту	spoils a card
Прячется	Hides
Ничего	Nothing
\n\n<color=#ff8080>Усиленный удар: +{0} урона.</color>	\n\n<color=#ff8080>Empowered strike: +{0} damage.</color>
Кредит ({0}): расплата через {1} комн.	Loan ({0}): payment due in {1} rooms
Залог ({0}): побед {1}/{2}, осталось {3} комн.	Pledge ({0}): wins {1}/{2}, {3} rooms left
Залог ({0}): не лечиться, осталось {1} комн.	Pledge ({0}): no healing, {1} rooms left
Дальше	Continue
У стены сидит ящер в рваном плаще, прижимая руку к боку. Кровь тёмная, дыхание короткое.\n«Эй... подойди. Или не подходи. Мне уже всё равно.»	A lizardfolk in a torn cloak sits against the wall, pressing a hand to his side. The blood is dark, his breathing shallow.\n"Hey... come closer. Or don't. I no longer care."
Помочь	Help
: перевязать его рану, оторвав лоскут собственной чешуи. Он отблагодарит	: bind his wound with a strip torn from your own scales. He will repay you
Пусто	Nothing
Он выдыхает и суёт тебе в руку потёртую карту.\n«{0}. Мне она больше не пригодится.»	He exhales and presses a worn card into your hand.\n"{0}. I won't be needing it anymore."
Обыскать	Search
Забрать, что есть. 30% — он не так уж и ранен	Take what he has. 30% — he isn't as wounded as he looks
Странник резко выпрямляется. Кровь на плаще — не его.	The wanderer straightens sharply. The blood on the cloak isn't his.
ничего ценного	nothing of value
В сумке — {0}. Странник не сопротивляется. Он просто смотрит.	In the bag: {0}. The wanderer doesn't resist. He just watches.
Пройти мимо	Walk past
В стене трещина шириной в ладонь. Из глубины тянет холодом, и что-то там блестит.	A crack as wide as a hand runs through the wall. Cold air drifts from the depths, and something glints inside.
Протиснуться	Squeeze through
: чешуя оставит кусочки на камне. Внутри — тайник	: your scales will leave pieces on the stone. There's a cache inside
Ты протискиваешься, обдирая бока. Внутри — небольшой тайник.	You squeeze through, scraping your sides. Inside — a small cache.
Выжечь проход	Burn a way through
Дыхание расширит трещину. 50% — тайник, 50% — обвал: 	Your breath will widen the crack. 50% — a cache, 50% — a collapse:
Камень трескается от жара и осыпается. Проход свободен — и тайник цел.	The stone cracks from the heat and crumbles. The way is clear — and the cache is intact.
Стена дрожит и обрушивается. Ты едва успеваешь отскочить; тайник погребён под камнями.	The wall shudders and collapses. You barely leap back; the cache is buried under rubble.
Уйти	Leave
Тайник: выбери карту	Cache: choose a card
\nТы забираешь «{0}».	\nYou take "{0}".
\nТы ничего не берёшь.	\nYou take nothing.
Посреди комнаты стоит зеркало из чёрного стекла. Отражение смотрит на тебя, но не повторяет твоих движений.	A mirror of black glass stands in the middle of the room. The reflection watches you, but does not mirror your movements.
Коснуться	Touch
Одна случайная карта станет сильнее, другая — слабее	One random card gets stronger, another gets weaker
Зеркало молчит. Отражение отворачивается.	The mirror is silent. The reflection turns away.
Стекло холодное, как лёд. Ты чувствуешь, как что-то перетекает.\n«{0}» стала сильнее, «{1}» — слабее.	The glass is cold as ice. You feel something flow.\n"{0}" grew stronger, "{1}" — weaker.
Зеркало: было → стало	Mirror: before → after
Разбить	Shatter
: осколки. Все метки Короля исчезнут с карт, бонусы останутся	: shards. All the King's marks vanish from your cards, the bonuses stay
Зеркало разлетается вдребезги. Осколки режут руки, но с карт сходит чужой знак: {0} мет. снято.	The mirror shatters. The shards cut your hands, but the foreign sign fades from your cards: {0} mark(s) removed.
Зеркало разлетается вдребезги. Осколки режут руки. Меток на картах и так не было.	The mirror shatters. The shards cut your hands. There were no marks on your cards anyway.
